,edge_list
88,"V4046,V32158"
89,"V37798,V16553"
90,"V11689,V17668"
91,"V41873,V51154"
92,"V54411,V54126"
93,"V16588,V11010"
94,"V10474,V9385"
95,"V44706,V36561"
96,"V12519,V12460"
97,"V51164,V51214"
98,"V48332,V54851"
99,"V11992,V12093"
100,"V21459,V22232"
101,"V22136,V22106"
102,"V21047,V12440"
103,"V51745,V17641"
104,"V2803,V51164"
105,"V42686,V45380"
106,"V19042,V18417"
107,"V5172,V47776"
108,"V10108,V24075"
109,"V8175,V54834"
110,"V35028,V35097"
111,"V51205,V32178"
112,"V19835,V29716"
113,"V16564,V9695"
114,"V23095,V36199"
115,"V10261,V54517"
116,"V54869,V34708"
117,"V15548,V22140"
118,"V18947,V18931"
119,"V1653,V28237"
120,"V38296,V40751"
121,"V9995,V32272"
122,"V38260,V39695"
123,"V41755,V39062"
124,"V10927,V40841"
125,"V17090,V40816"
126,"V51375,V53206"
127,"V16875,V16847"
128,"V50497,V45560"
129,"V23403,V48852"
130,"V38204,V11492"
131,"V121,V17639"
132,"V32182,V32205"
133,"V9291,V43762"
134,"V55129,V50237"
135,"V7608,V14795"
136,"V38010,V38037"
137,"V43694,V28786"
138,"V24956,V17091"
139,"V54732,V12246"
140,"V52191,V52259"
141,"V19732,V28199"
142,"V16908,V32856"
143,"V47498,V54869"
144,"V11993,V53773"
145,"V22239,V44734"
146,"V51859,V35577"
147,"V10018,V41898"
148,"V45542,V47400"
149,"V30937,V42240"
150,"V22140,V33953"
151,"V8366,V13229"
152,"V11027,V14839"
153,"V22139,V1283"
154,"V21851,V51192"
155,"V8688,V52058"
156,"V36408,V40040"
157,"V39110,V53431"
158,"V13816,V20476"
159,"V54386,V12429"
160,"V24521,V54868"
161,"V53418,V24696"
162,"V10713,V31467"
163,"V51376,V44553"
164,"V11810,V12412"
165,"V33056,V51228"
166,"V2379,V33584"
167,"V53205,V24319"
168,"V937,V39404"
169,"V45524,V31611"
170,"V33057,V9510"
171,"V48907,V51183"
172,"V10754,V34219"
173,"V55227,V40511"
174,"V9711,V9618"
175,"V27990,V29131"
176,"V40335,V17612"
177,"V42317,V34967"
178,"V51156,V47252"
179,"V461,V54774"
180,"V26722,V17629"
181,"V2682,V5238"
182,"V34245,V38390"
183,"V9272,V9284"
184,"V25598,V28475"
185,"V18949,V33783"
186,"V37248,V51217"
187,"V39215,V2526"
188,"V51710,V51683"
189,"V2879,V40792"
190,"V44608,V25615"
191,"V44102,V24731"
192,"V51200,V51173"
193,"V23749,V51182"
194,"V16394,V9970"
195,"V27012,V50164"
196,"V27001,V14139"
197,"V19898,V7607"
198,"V52064,V55112"
199,"V32226,V18943"
200,"V9871,V14073"
201,"V51013,V16908"
202,"V50604,V14095"
203,"V39626,V10442"
204,"V19076,V16572"
205,"V35637,V11830"
206,"V51680,V15652"
207,"V21844,V20976"
208,"V50238,V39523"
209,"V32838,V38314"
210,"V50298,V45402"
211,"V33599,V50978"
212,"V10363,V7175"
213,"V14861,V51169"
214,"V43025,V42977"
215,"V44584,V53217"
216,"V41897,V13360"
217,"V25529,V33353"
218,"V34968,V34930"
219,"V21109,V21049"
220,"V38339,V12430"
221,"V54097,V41228"
222,"V39556,V39240"
223,"V28611,V47400"
224,"V29134,V12526"
225,"V45373,V39430"
226,"V39713,V51201"
227,"V47003,V53209"
228,"V48324,V47393"
229,"V32464,V31372"
230,"V10454,V10006"
231,"V16393,V24076"
232,"V38278,V38223"
233,"V7715,V15178"
234,"V18235,V51222"
235,"V19781,V19707"
236,"V17689,V35557"
237,"V41898,V34868"
238,"V28478,V10672"
239,"V11840,V11820"
240,"V22035,V17635"
241,"V34994,V26442"
242,"V20237,V22149"
243,"V52091,V23662"
244,"V14877,V15569"
245,"V51060,V11823"
246,"V41896,V54863"
247,"V42850,V2969"
248,"V51200,V32166"
249,"V12427,V40230"
250,"V36024,V34190"
251,"V1261,V9750"
252,"V39234,V24066"
253,"V14792,V24577"
254,"V9510,V32296"
255,"V30014,V3670"
256,"V49899,V46651"
257,"V34052,V53538"
258,"V52081,V17725"
259,"V4400,V19734"
260,"V32159,V32182"
261,"V35121,V28141"
262,"V39758,V37941"
263,"V8368,V9292"
264,"V40530,V39431"
265,"V33878,V53583"
266,"V52261,V22327"
267,"V46203,V10459"
268,"V39397,V38082"
269,"V35366,V52864"
270,"V33922,V34890"
271,"V26083,V42686"
272,"V7256,V51198"
273,"V16552,V15038"
274,"V51120,V51134"
275,"V53247,V8266"
276,"V51104,V45345"
277,"V55242,V34025"
278,"V22234,V14320"
279,"V53219,V30231"
280,"V51376,V19442"
281,"V11059,V25660"
282,"V51193,V51228"
283,"V51133,V37221"
284,"V16854,V35901"
285,"V39112,V16463"
286,"V10018,V33393"
287,"V2854,V6599"
288,"V50560,V3591"
289,"V24772,V1474"
290,"V972,V44711"
291,"V44083,V45792"
292,"V10656,V22140"
293,"V30174,V9968"
294,"V17162,V51145"
295,"V39174,V51227"
296,"V24332,V45636"
297,"V22385,V11839"
298,"V39159,V11992"
299,"V9305,V42711"
300,"V21158,V33799"
301,"V32182,V51160"
302,"V12505,V38418"
303,"V16304,V7881"
304,"V30106,V4465"
305,"V9292,V30076"
306,"V15684,V50165"
307,"V22141,V24371"
308,"V45596,V45559"
309,"V9274,V30861"
310,"V38344,V38282"
311,"V12430,V22292"
312,"V47297,V47305"
313,"V34028,V9750"
314,"V10019,V10005"
315,"V21321,V21414"
316,"V29735,V34080"
317,"V27082,V51259"
318,"V33981,V33955"
319,"V51269,V29486"
320,"V9367,V48323"
321,"V40379,V43257"
322,"V28105,V7680"
323,"V3202,V38310"
324,"V49766,V22140"
325,"V15710,V5805"
326,"V21046,V21122"
327,"V29474,V33306"
328,"V17077,V14096"
329,"V43693,V25644"
330,"V10339,V2993"
331,"V40844,V40787"
332,"V11839,V4358"
333,"V51166,V51030"
334,"V55096,V18949"
335,"V4440,V4449"
336,"V2837,V15829"
337,"V7906,V11823"
338,"V55395,V31378"
339,"V25761,V29972"
340,"V51160,V55149"
341,"V2911,V2948"
342,"V52576,V40746"
343,"V52925,V22177"
344,"V17041,V17099"
345,"V16552,V16729"
346,"V10959,V17648"
347,"V9448,V48322"
348,"V12362,V52074"
349,"V53217,V45548"
350,"V39173,V2972"
351,"V18944,V51219"
352,"V12316,V11993"
353,"V8999,V21844"
354,"V14766,V9297"
355,"V50164,V11929"
356,"V16907,V43419"
357,"V9745,V9702"
358,"V51170,V51181"
359,"V39100,V39246"
360,"V39750,V21916"
361,"V34817,V27062"
362,"V53249,V33486"
363,"V111,V9293"
364,"V51236,V6842"
365,"V16906,V36568"
366,"V28479,V15629"
367,"V638,V24260"
368,"V9517,V39714"
369,"V39520,V31461"
370,"V11297,V28834"
371,"V2150,V2130"
372,"V20243,V44575"
373,"V15952,V7144"
374,"V1921,V34062"
375,"V52093,V54471"
376,"V39572,V52855"
377,"V48854,V22050"
378,"V10526,V38269"
379,"V35253,V54591"
380,"V41766,V39176"
381,"V35588,V51113"
382,"V9753,V9919"
383,"V9445,V9502"
384,"V49732,V47836"
385,"V33309,V34018"
386,"V21844,V34837"
387,"V209,V28834"
388,"V25642,V49733"
389,"V28505,V16608"
390,"V52483,V16450"
391,"V32272,V980"
392,"V48904,V21877"
393,"V43713,V43420"
394,"V16391,V11013"
395,"V8284,V40787"
396,"V5339,V2177"
397,"V119,V31375"
398,"V9292,V47187"
399,"V38040,V38078"
400,"V2896,V2854"
401,"V18176,V10756"
402,"V11810,V49373"
403,"V12435,V12454"
404,"V39406,V34891"
405,"V45614,V22258"
406,"V48852,V54294"
407,"V15308,V46817"
408,"V9518,V23008"
409,"V36070,V19768"
410,"V23751,V22138"
411,"V2166,V23008"
412,"V9753,V29844"
413,"V8668,V25766"
414,"V33792,V15174"
415,"V10624,V51134"
416,"V8238,V41756"
417,"V11849,V9713"
418,"V37761,V10357"
419,"V9716,V27106"
420,"V18978,V19035"
421,"V10688,V10920"
422,"V52337,V52326"
423,"V16178,V7538"
424,"V7608,V12453"
425,"V45559,V45596"
426,"V16396,V15579"
427,"V9291,V9267"
428,"V22140,V21412"
429,"V51184,V52883"
430,"V52428,V46814"
431,"V1870,V16512"
432,"V9756,V10686"
433,"V33919,V28449"
434,"V33816,V33846"
435,"V51148,V47550"
436,"V34239,V53264"
437,"V2170,V52352"
438,"V12430,V48273"
439,"V42160,V33684"
440,"V24028,V24061"
441,"V33934,V33956"
442,"V52267,V39228"
443,"V39838,V25626"
444,"V1134,V31776"
445,"V22716,V36641"
446,"V16700,V10018"
447,"V14141,V2994"
448,"V55112,V21137"
449,"V34917,V21106"
450,"V38572,V16906"
451,"V16582,V22149"
452,"V22139,V22209"
453,"V40810,V19599"
454,"V33879,V18457"
455,"V16908,V43563"
456,"V51827,V12647"
457,"V45779,V39519"
458,"V53251,V42973"
459,"V43421,V15755"
460,"V3669,V19057"
461,"V29485,V17728"
462,"V32175,V17639"
463,"V5809,V13430"
464,"V32287,V8066"
465,"V22730,V14073"
466,"V34914,V25725"
467,"V9757,V317"
468,"V32183,V11947"
469,"V41768,V11834"
470,"V21046,V20973"
471,"V1124,V9345"
472,"V38313,V37050"
473,"V17405,V54520"
474,"V27694,V52777"
475,"V51145,V48300"
476,"V5796,V9301"
477,"V34063,V34193"
478,"V16540,V16513"
479,"V2993,V41903"
480,"V16909,V28928"
481,"V52309,V52271"
482,"V29960,V46593"
483,"V34032,V48308"
484,"V55100,V53884"
485,"V32291,V32320"
486,"V52471,V28143"
487,"V53264,V34304"
488,"V7035,V26736"
489,"V10197,V22136"
490,"V51320,V51255"
491,"V33841,V14890"
492,"V25636,V44703"
493,"V19707,V46992"
494,"V55253,V55209"
495,"V10588,V31747"
496,"V51144,V23048"
497,"V52250,V52217"
498,"V2363,V9715"
499,"V51200,V47427"
500,"V10509,V55234"
501,"V10648,V10658"
502,"V20313,V7144"
503,"V17677,V17689"
504,"V34891,V50164"
505,"V18452,V21904"
506,"V9284,V7252"
507,"V51196,V9339"
508,"V31455,V51801"
509,"V21931,V22012"
510,"V4423,V4464"
511,"V11827,V50241"
512,"V16573,V22140"
513,"V10336,V13992"
514,"V33762,V14880"
515,"V9293,V111"
516,"V46815,V33484"
517,"V24551,V22137"
518,"V33875,V15569"
519,"V9400,V18418"
520,"V19572,V51218"
521,"V31664,V41895"
522,"V18942,V32111"
523,"V36722,V2852"
524,"V9754,V37106"
525,"V43419,V42541"
526,"V2993,V55355"
527,"V19977,V11843"
528,"V41767,V41784"
529,"V23970,V14313"
530,"V21078,V20956"
531,"V5809,V11745"
532,"V46027,V51696"
533,"V13949,V53081"
534,"V41716,V50233"
535,"V34879,V34711"
536,"V39495,V21131"
537,"V14968,V42148"
538,"V42148,V51263"
539,"V24547,V45401"
540,"V51172,V51182"
541,"V9273,V51868"
542,"V4440,V32751"
543,"V32287,V51929"
544,"V17605,V521"
545,"V34202,V34336"
546,"V17762,V6399"
547,"V41712,V41781"
548,"V16982,V32271"
549,"V37107,V2993"
550,"V36701,V49944"
551,"V25660,V44168"
552,"V29133,V2110"
553,"V37136,V10036"
554,"V32288,V9667"
555,"V39662,V39542"
556,"V24553,V24565"
557,"V9914,V14016"
558,"V19709,V48323"
559,"V2287,V4355"
560,"V9274,V19654"
561,"V15260,V4863"
562,"V16483,V51133"
563,"V50168,V55144"
564,"V2993,V55688"
565,"V9508,V9300"
566,"V38280,V38326"
567,"V51239,V4467"
568,"V39516,V39504"
569,"V22686,V21157"
570,"V26448,V23835"
571,"V28602,V28610"
572,"V19572,V8419"
573,"V39159,V51102"
574,"V460,V505"
575,"V2134,V2146"
576,"V40883,V16988"
577,"V16545,V36700"
578,"V19628,V19770"
579,"V20902,V9341"
580,"V51126,V11107"
581,"V38310,V41837"
582,"V20243,V46618"
583,"V51155,V11843"
584,"V40751,V3142"
585,"V36561,V36700"
586,"V21130,V47271"
587,"V10261,V14892"
588,"V33960,V52268"
589,"V9346,V19580"
590,"V21132,V49899"
591,"V27282,V51133"
592,"V51216,V51091"
593,"V11850,V13376"
594,"V16450,V16397"
595,"V43547,V9270"
596,"V26738,V30941"
597,"V9301,V10240"
598,"V227,V324"
599,"V21131,V12246"
600,"V33878,V28446"
601,"V18944,V21129"
602,"V52090,V54525"
603,"V10651,V11847"
604,"V52429,V45445"
605,"V12651,V24811"
606,"V34246,V6659"
607,"V17091,V17053"
608,"V11992,V17680"
609,"V14635,V14253"
610,"V43480,V29505"
611,"V32184,V51198"
612,"V21725,V54875"
613,"V32519,V11777"
614,"V54101,V20306"
615,"V34914,V5175"
616,"V50654,V54869"
617,"V10575,V10036"
618,"V32173,V8376"
619,"V9267,V9286"
620,"V20396,V17075"
621,"V26453,V13748"
622,"V21946,V22058"
623,"V52845,V52802"
624,"V29484,V19651"
625,"V51104,V51179"
626,"V15784,V52575"
627,"V52803,V1579"
628,"V10794,V54875"
629,"V2248,V54864"
630,"V33083,V22149"
631,"V35209,V34912"
632,"V25771,V10357"
633,"V41546,V28602"
634,"V34797,V16537"
635,"V44173,V25659"
636,"V46818,V10358"
637,"V10249,V11852"
638,"V28238,V32200"
639,"V28448,V11993"
640,"V10763,V30827"
641,"V40697,V36827"
642,"V9401,V10344"
643,"V30943,V10919"
644,"V34912,V14171"
645,"V11593,V40205"
646,"V22142,V18977"
647,"V9618,V16467"
648,"V52747,V38260"
649,"V2993,V3667"
650,"V9716,V31401"
651,"V24289,V24551"
652,"V39431,V2034"
653,"V41766,V41797"
654,"V33877,V7667"
655,"V17698,V43888"
656,"V34687,V16588"
657,"V11631,V11819"
658,"V2686,V33567"
659,"V9618,V38250"
660,"V53120,V10682"
661,"V12455,V12412"
662,"V51226,V10813"
663,"V31288,V53217"
664,"V53217,V52837"
665,"V10245,V23603"
666,"V104,V35367"
667,"V138,V51198"
668,"V11808,V11847"
669,"V26432,V10331"
670,"V9301,V7607"
671,"V11134,V19724"
672,"V32206,V32175"
673,"V3667,V33936"
674,"V7856,V7864"
675,"V26291,V53194"
676,"V10000,V10036"
677,"V55208,V21042"
678,"V24918,V43377"
679,"V16201,V16347"
680,"V55100,V9764"
681,"V18944,V28017"
682,"V40875,V53230"
683,"V27359,V5805"
684,"V12647,V48853"
685,"V3705,V24021"
686,"V52250,V32211"
687,"V18416,V18091"
688,"V9273,V13900"
689,"V21580,V39258"
690,"V9490,V8363"
691,"V51218,V8363"
692,"V41766,V41787"
693,"V2369,V38007"
694,"V51239,V39066"
695,"V12550,V5805"
696,"V32849,V54520"
697,"V53263,V22067"
698,"V2994,V51269"
699,"V39069,V39713"
700,"V2993,V16548"
701,"V52333,V47547"
702,"V42558,V40844"
703,"V32271,V27426"
704,"V937,V950"
705,"V45570,V2855"
706,"V22053,V40689"
707,"V46199,V28616"
708,"V23184,V9380"
709,"V37022,V24947"
710,"V22149,V10442"
711,"V52803,V25553"
712,"V1275,V10114"
713,"V33981,V53248"
714,"V34920,V39434"
715,"V43152,V53264"
716,"V36902,V51145"
717,"V34927,V34914"
718,"V12435,V17407"
719,"V39135,V34406"
720,"V3751,V51239"
721,"V27064,V43928"
722,"V11992,V39684"
723,"V12149,V3053"
724,"V49899,V49958"
725,"V53217,V55255"
726,"V40041,V29484"
727,"V4443,V51217"
728,"V51141,V36388"
729,"V1482,V50621"
730,"V14785,V14821"
731,"V16536,V9751"
732,"V16608,V16579"
733,"V52430,V3011"
734,"V32174,V12277"
735,"V27061,V15172"
736,"V33988,V44555"
737,"V18279,V28432"
738,"V19487,V32183"
739,"V33550,V32291"
740,"V31824,V32288"
741,"V32223,V32185"
742,"V24692,V24058"
743,"V53131,V24126"
744,"V9724,V9509"
745,"V11821,V11803"
746,"V24947,V15293"
747,"V39769,V6635"
748,"V16523,V40740"
749,"V34407,V32284"
750,"V22339,V25533"
751,"V14097,V14126"
752,"V54870,V54856"
753,"V14171,V19422"
754,"V5806,V30106"
755,"V16684,V39706"
756,"V35505,V44245"
757,"V12422,V23256"
758,"V36690,V36701"
759,"V12430,V38058"
760,"V35031,V32159"
761,"V51204,V8927"
762,"V25201,V9717"
763,"V29132,V28146"
764,"V9794,V52058"
765,"V2994,V39817"
766,"V20143,V40193"
767,"V2039,V49969"
768,"V11211,V42740"
769,"V12454,V12422"
770,"V52328,V23599"
771,"V51408,V55104"
772,"V52502,V50162"
773,"V51194,V8136"
774,"V55093,V52198"
775,"V24156,V24143"
776,"V24047,V24222"
777,"V18308,V18350"
778,"V11992,V17684"
779,"V46815,V33429"
780,"V48852,V33314"
781,"V17715,V17648"
782,"V10647,V16552"
783,"V38325,V24560"
784,"V23970,V22827"
785,"V20954,V9144"
786,"V52491,V51375"
787,"V18855,V11825"
788,"V12434,V24930"
789,"V52091,V51193"
790,"V13139,V34913"
791,"V52373,V51219"
792,"V22234,V8262"
793,"V3029,V9292"
794,"V10364,V2366"
795,"V19827,V50951"
796,"V43419,V12938"
797,"V14776,V45401"
798,"V449,V55776"
799,"V43307,V9367"
800,"V54872,V55774"
801,"V17708,V17683"
802,"V39829,V48307"
803,"V2089,V42542"
804,"V52491,V45696"
805,"V33918,V33934"
806,"V10459,V49992"
807,"V10043,V10349"
808,"V53656,V10915"
809,"V53252,V38006"
810,"V34887,V52643"
811,"V51147,V51133"
812,"V21845,V6922"
813,"V28142,V16359"
814,"V41901,V8023"
815,"V16391,V31618"
816,"V33849,V11993"
817,"V19768,V23981"
818,"V34122,V34201"
819,"V54869,V29007"
820,"V2901,V36931"
821,"V52217,V52436"
822,"V39432,V49023"
823,"V39674,V41123"
824,"V47967,V53209"
825,"V10489,V38082"
826,"V40787,V39113"
827,"V52570,V48852"
828,"V8131,V33800"
829,"V41769,V16680"
830,"V11775,V25952"
831,"V14878,V14861"
832,"V34246,V36878"
833,"V271,V15174"
834,"V53206,V19809"
835,"V2685,V48960"
836,"V14819,V36827"
837,"V12427,V13311"
838,"V18974,V10115"
839,"V47009,V16545"
840,"V2995,V20963"
841,"V39431,V23013"
842,"V18428,V51687"
843,"V33791,V22468"
844,"V32744,V5018"
845,"V7907,V30903"
846,"V8999,V35557"
847,"V46141,V34063"
848,"V28044,V28052"
849,"V25143,V20615"
850,"V23759,V32286"
851,"V49427,V40787"
852,"V52585,V14785"
853,"V42566,V19773"
854,"V2125,V49970"
855,"V40193,V31455"
856,"V154,V33784"
857,"V39292,V22178"
858,"V53252,V39820"
859,"V10008,V10018"
860,"V2993,V50283"
861,"V41898,V19021"
862,"V16588,V52147"
863,"V15528,V14879"
864,"V14118,V34075"
865,"V15059,V12559"
866,"V32801,V9898"
867,"V7881,V7830"
868,"V27061,V38204"
869,"V18429,V39431"
870,"V4311,V53217"
871,"V39829,V39768"
872,"V51133,V43762"
873,"V11839,V22118"
874,"V25598,V16906"
875,"V7608,V10469"
876,"V53205,V2274"
877,"V28602,V15155"
878,"V9367,V9512"
879,"V45537,V10658"
880,"V12520,V38272"
881,"V49015,V33354"
882,"V9587,V55472"
883,"V9304,V9716"
884,"V34711,V51100"
885,"V52074,V33930"
886,"V18453,V21887"
887,"V21131,V43492"
888,"V15177,V254"
889,"V12435,V12446"
890,"V32278,V12812"
891,"V53249,V13660"
892,"V15569,V54524"
893,"V16707,V41896"
894,"V12359,V39171"
895,"V32825,V55208"
896,"V51098,V33550"
897,"V34132,V34039"
898,"V16557,V15619"
899,"V2381,V24091"
900,"V33500,V10656"
901,"V36702,V24055"
902,"V39713,V54153"
903,"V22203,V40798"
904,"V38272,V38246"
905,"V21907,V21896"
906,"V19768,V37662"
907,"V15558,V24126"
908,"V24104,V40805"
909,"V17296,V2994"
910,"V39212,V23765"
911,"V20785,V48854"
912,"V18427,V34963"
913,"V17627,V52852"
914,"V51386,V51404"
915,"V54850,V51017"
916,"V36822,V9947"
917,"V40788,V10710"
918,"V51407,V25384"
919,"V50166,V9385"
920,"V53209,V17195"
921,"V3114,V24551"
922,"V24157,V24137"
923,"V53210,V53188"
924,"V52431,V53211"
925,"V16555,V31289"
926,"V9345,V4501"
927,"V42150,V25957"
928,"V53270,V55071"
929,"V41900,V39769"
930,"V23991,V24025"
931,"V7478,V20221"
932,"V32484,V9905"
933,"V9641,V16580"
934,"V40443,V33906"
935,"V33840,V32171"
936,"V31470,V16608"
937,"V52328,V52196"
938,"V52429,V20101"
939,"V16507,V51683"
940,"V52823,V52436"
941,"V9969,V29994"
942,"V16827,V42541"
943,"V20291,V30010"
944,"V9342,V42540"
945,"V2246,V5826"
946,"V5804,V52218"
947,"V47440,V2854"
948,"V16588,V19391"
949,"V30177,V51687"
950,"V9969,V48077"
951,"V19833,V9291"
952,"V49899,V45621"
953,"V9316,V9284"
954,"V30150,V34202"
955,"V52585,V9716"
956,"V6849,V39768"
957,"V44613,V10656"
958,"V42312,V15288"
959,"V33271,V33308"
960,"V14776,V38380"
961,"V37020,V53187"
962,"V41819,V52803"
963,"V43176,V43253"
964,"V186,V10755"
965,"V19799,V19751"
966,"V9301,V10515"
967,"V51664,V28251"
968,"V22575,V24253"
969,"V31390,V46104"
970,"V42542,V42219"
971,"V24551,V29868"
972,"V324,V509"
973,"V47505,V54873"
974,"V20362,V20384"
975,"V963,V34246"
976,"V5680,V5806"
977,"V39111,V41741"
978,"V10744,V33605"
979,"V34209,V14959"
980,"V2536,V29950"
981,"V51217,V51167"
982,"V34406,V34255"
983,"V15761,V32183"
984,"V49899,V31643"
985,"V19799,V20341"
986,"V10907,V38221"
987,"V15551,V39066"
988,"V27276,V25726"
989,"V24829,V9618"
990,"V10261,V22340"
991,"V17621,V33982"
992,"V15528,V40064"
993,"V55209,V55239"
994,"V9296,V44932"
995,"V22138,V42733"
996,"V54873,V16191"
997,"V14776,V5997"
998,"V123,V39847"
999,"V54101,V38503"
1000,"V2984,V9293"
1001,"V18117,V1132"
1002,"V36476,V18417"
1003,"V49000,V32173"
1004,"V32178,V32169"
1005,"V39431,V4357"
1006,"V42117,V28602"
1007,"V51156,V51146"
1008,"V10682,V10766"
1009,"V14086,V33156"
1010,"V38243,V38235"
1011,"V33269,V53264"
1012,"V10018,V2117"
1013,"V54101,V29756"
1014,"V34249,V34363"
1015,"V21976,V324"
1016,"V46022,V32429"
1017,"V51201,V30608"
1018,"V23588,V24947"
1019,"V36631,V18419"
1020,"V51158,V51182"
1021,"V48904,V11211"
1022,"V9618,V1647"
1023,"V39097,V34068"
1024,"V12764,V11810"
1025,"V2993,V17784"
1026,"V9292,V9279"
1027,"V29588,V16449"
1028,"V12609,V39104"
1029,"V51134,V55145"
1030,"V7607,V39093"
1031,"V9268,V9285"
1032,"V12431,V44364"
1033,"V34369,V54845"
1034,"V14176,V51217"
1035,"V34843,V28339"
1036,"V32182,V45778"
1037,"V54102,V45516"
1038,"V11842,V7716"
1039,"V5951,V29863"
1040,"V33955,V33995"
1041,"V39116,V2946"
1042,"V1236,V53211"
1043,"V10911,V37278"
1044,"V51099,V32269"
1045,"V18747,V14085"
1046,"V39064,V44374"
1047,"V43942,V12246"
1048,"V51308,V34887"
1049,"V19630,V7885"
1050,"V10375,V17605"
1051,"V43193,V39413"
1052,"V13303,V54869"
1053,"V17087,V20316"
1054,"V15178,V792"
1055,"V53260,V53217"
1056,"V51184,V51160"
1057,"V24798,V20739"
1058,"V41767,V22750"
1059,"V24156,V21129"
1060,"V28602,V18881"
1061,"V16608,V21845"
1062,"V51310,V40443"
1063,"V13387,V6070"
1064,"V48308,V32621"
1065,"V17088,V13091"
1066,"V16513,V9711"
1067,"V18932,V18944"
1068,"V17637,V17628"
1069,"V48901,V53205"
1070,"V47913,V32277"
1071,"V119,V38779"
1072,"V53296,V14359"
1073,"V17714,V38009"
1074,"V9295,V9341"
1075,"V3172,V2526"
1076,"V36567,V36560"
1077,"V24058,V24027"
1078,"V53111,V53184"
1079,"V4300,V52706"
1080,"V24030,V54857"
1081,"V2151,V48640"
1082,"V37969,V16393"
1083,"V34201,V17725"
1084,"V8932,V2852"
1085,"V18017,V48323"
1086,"V32823,V15362"
1087,"V45918,V45930"
1088,"V10569,V51228"
1089,"V23629,V51376"
1090,"V39431,V34034"
1091,"V54102,V36127"
1092,"V29911,V36086"
1093,"V14784,V51385"
1094,"V53216,V9695"
1095,"V4115,V9618"
1096,"V49989,V50883"
1097,"V10331,V19922"
1098,"V51405,V52091"
1099,"V17693,V9648"
1100,"V712,V49340"
1101,"V9145,V34913"
1102,"V55518,V53283"
1103,"V7144,V22727"
1104,"V32272,V40733"
1105,"V19580,V9346"
1106,"V34405,V24028"
1107,"V11830,V10100"
1108,"V33777,V39847"
1109,"V52819,V53246"
1110,"V16537,V22687"
1111,"V46142,V30656"
1112,"V25865,V24948"
1113,"V25635,V20609"
1114,"V51144,V32265"
1115,"V33846,V33827"
1116,"V51243,V51204"
1117,"V16536,V16988"
1118,"V45385,V45403"
1119,"V43773,V35704"
1120,"V54870,V16128"
1121,"V29730,V35736"
1122,"V18386,V41340"
1123,"V54611,V9754"
1124,"V185,V268"
1125,"V51682,V20235"
1126,"V4464,V51192"
1127,"V22170,V10357"
1128,"V28203,V9745"
1129,"V39749,V11850"
1130,"V51099,V12379"
1131,"V21142,V41766"
1132,"V54095,V23954"
1133,"V14073,V22730"
1134,"V25636,V18093"
1135,"V16393,V43694"
1136,"V28201,V34062"
1137,"V12364,V51228"
1138,"V17681,V10333"
1139,"V19768,V31649"
1140,"V54985,V24551"
1141,"V28333,V10659"
1142,"V35867,V34974"
1143,"V37835,V33328"
1144,"V53195,V6179"
1145,"V35872,V13815"
1146,"V21342,V54873"
1147,"V16554,V8431"
1148,"V22138,V22063"
1149,"V39837,V39912"
1150,"V50162,V39753"
1151,"V33776,V34351"
1152,"V10428,V10441"
1153,"V38288,V13394"
1154,"V34977,V51090"
